"X","title","date_posted","position","location","url","District","Archive_Date"
1,"Assistant High School Boys Basketball Coach - BUR","3/25/2024","Athletics/ Activities/","Burlington Schools","https://www.applitrack.com/bighorn1/onlineapp/JobPostings/view.asp?all=1","Big Horn School District 1",2024-08-16
2,"Assistant MS/HS Cross-Country Coach - BUR","7/25/2024","Athletics/ Activities/","Burlington Schools","https://www.applitrack.com/bighorn1/onlineapp/JobPostings/view.asp?all=1","Big Horn School District 1",2024-08-16
3,"Assistant High School Volleyball Coach - BHS","8/8/2024","Athletics/ Activities/","Burlington Schools","https://www.applitrack.com/bighorn1/onlineapp/JobPostings/view.asp?all=1","Big Horn School District 1",2024-08-16
4,"Secondary English Teacher - Virtual - WYCA","7/18/2024","High School Teaching/","Big Horn Co School District 1","https://www.applitrack.com/bighorn1/onlineapp/JobPostings/view.asp?all=1","Big Horn School District 1",2024-08-16
5,"Special Education Paraprofessional (Instructional) - 36 hrs - RMES","5/1/2024","Paraprofessional/","Rocky Mountain Elementary","https://www.applitrack.com/bighorn1/onlineapp/JobPostings/view.asp?all=1","Big Horn School District 1",2024-08-16
6,"At-Risk Paraprofessional (Instructional) - 20 hrs./wk - RMHS","7/16/2024","Paraprofessional/","Rocky Mountain Middle/High School","https://www.applitrack.com/bighorn1/onlineapp/JobPostings/view.asp?all=1","Big Horn School District 1",2024-08-16
7,"Sub Nurse","9/23/2020","Student Support Services/","Big Horn Co School District 1","https://www.applitrack.com/bighorn1/onlineapp/JobPostings/view.asp?all=1","Big Horn School District 1",2024-08-16
8,"Sub - Teacher","9/23/2020","Substitute/","Big Horn Co School District 1","https://www.applitrack.com/bighorn1/onlineapp/JobPostings/view.asp?all=1","Big Horn School District 1",2024-08-16
9,"Early Literacy Outreach Coordinator - Cowley (Part-Time)","7/18/2024","Support Staff/","Big Horn Co School District 1","https://www.applitrack.com/bighorn1/onlineapp/JobPostings/view.asp?all=1","Big Horn School District 1",2024-08-16
10,"Sub- Custodial/Cook/Secretary","9/23/2020","Support Staff/","Big Horn Co School District 1","https://www.applitrack.com/bighorn1/onlineapp/JobPostings/view.asp?all=1","Big Horn School District 1",2024-08-16
