X,title,date_posted,position,location,url,District,Archive_Date
1,Sub Nurse,9/23/2020,Student Support Services/,Big Horn Co School District 1,https://www.applitrack.com/bighorn1/onlineapp/JobPostings/view.asp?all=1,Big Horn School District 1,11/29/2024
2,Sub - Teacher,9/23/2020,Substitute/,Big Horn Co School District 1,https://www.applitrack.com/bighorn1/onlineapp/JobPostings/view.asp?all=1,Big Horn School District 1,11/29/2024
3,Sub- Custodial/Cook/Secretary,9/23/2020,Support Staff/,Big Horn Co School District 1,https://www.applitrack.com/bighorn1/onlineapp/JobPostings/view.asp?all=1,Big Horn School District 1,11/29/2024
4,Sub - Paraprofessional,9/23/2020,Support Staff/,Big Horn Co School District 1,https://www.applitrack.com/bighorn1/onlineapp/JobPostings/view.asp?all=1,Big Horn School District 1,11/29/2024
5,Sub- Route Bus Driver - Burlington,9/23/2020,Support Staff/,Bus Barn - South,https://www.applitrack.com/bighorn1/onlineapp/JobPostings/view.asp?all=1,Big Horn School District 1,11/29/2024
6,Sub- Route Bus Driver - Cowley,9/23/2020,Support Staff/,Bus Barn - North,https://www.applitrack.com/bighorn1/onlineapp/JobPostings/view.asp?all=1,Big Horn School District 1,11/29/2024
7,8th Grade Boys Assistant Basketball Coach,11/19/2024,Athletics/Activities,Lovell Middle School,https://www.applitrack.com/bgh2/onlineapp/default.aspx?all=1,Big Horn School District 2,11/29/2024
8,Substitute Teacher,3/30/2022,Substitute/,Big Horn County School District #2,https://www.applitrack.com/bgh2/onlineapp/default.aspx?all=1,Big Horn School District 2,11/29/2024
9,Special Education Paraprofessional,10/30/2024,Support Staff/,Lovell Elementary School,https://www.applitrack.com/bgh2/onlineapp/default.aspx?all=1,Big Horn School District 2,11/29/2024
10,Substitute Route and Activity Bus Drivers,3/29/2022,Transportation,Big Horn County School District #2,https://www.applitrack.com/bgh2/onlineapp/default.aspx?all=1,Big Horn School District 2,11/29/2024
11,Middle Track Coach,8/29/2024,Athletics/Activities,District Wide,https://www.applitrack.com/bighorn/onlineapp/default.aspx?all=1,Big Horn School District 3,11/29/2024
12,Assistant High School Speech Sponsor / Coach,9/18/2024,Athletics/Activities/,Greybull High School,https://www.applitrack.com/bighorn/onlineapp/default.aspx?all=1,Big Horn School District 3,11/29/2024
13,Bus Driver,8/2/2024,Transportation,District Wide,https://www.applitrack.com/bighorn/onlineapp/default.aspx?all=1,Big Horn School District 3,11/29/2024
14,Substitute Teacher,7/5/2017,Substitute/,District Wide,https://www.applitrack.com/bighorn/onlineapp/default.aspx?all=1,Big Horn School District 3,11/29/2024
15,High School Science Research Sponsor (Internal Applicants Only),8/2/2024,Athletics/Activities/,Greybull High School,https://www.applitrack.com/bighorn/onlineapp/default.aspx?all=1,Big Horn School District 3,11/29/2024
16,21 CCLC After School Program Activity Leaders,1/21/2020,Student Support Services,Laura Irwin Elementary,https://www.applitrack.com/bgh4/onlineapp/default.aspx?all=1,Big Horn School District 4,11/29/2024
17,Bus Driver,1/7/2022,Support Staff,District,https://www.applitrack.com/bgh4/onlineapp/default.aspx?all=1,Big Horn School District 4,11/29/2024
18,Maintenance Director,10/28/2024,Administration/,District,https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1,Carbon County School District 1,11/29/2024
19,Rawlins Aquatics Center,2/16/2024,Aquatics/,Rawlins Aquatics Center,https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1,Carbon County School District 1,11/29/2024
20,Rawlins Aquatics Center - Part Time,2/16/2024,Aquatics/,Rawlins Aquatics Center,https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1,Carbon County School District 1,11/29/2024
21,Rawlins Aquatics Center - Full Time,2/16/2024,Aquatics/,Rawlins Aquatics Center,https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1,Carbon County School District 1,11/29/2024
22,Part Time Pre-K Teacher,10/3/2024,Elementary School Teaching/,Rawlins Elementary School,https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1,Carbon County School District 1,11/29/2024
23,Music Teacher,10/3/2024,Elementary School Teaching/,Rawlins Elementary School,https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1,Carbon County School District 1,11/29/2024
24,Food Service - Substitute,2/16/2024,Food Service,Little Snake River Valley School,https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1,Carbon County School District 1,11/29/2024
25,Food Service Substitute,2/16/2024,Food Service,District,https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1,Carbon County School District 1,11/29/2024
26,Science Teacher,10/25/2024,High School Teaching,Victory High School,https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1,Carbon County School District 1,11/29/2024
27,Science Teacher,11/15/2024,High School Teaching,Victory High School,https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1,Carbon County School District 1,11/29/2024
28,P.E./Health K-12 Teacher,10/3/2024,High School Teaching/,Little Snake River Valley School,https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1,Carbon County School District 1,11/29/2024
29,Custodial - Substitute,2/16/2024,Maintenance/Custodial,District,https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1,Carbon County School District 1,11/29/2024
30,Custodial - Substitute,2/16/2024,Maintenance/Custodial,Little Snake River Valley School,https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1,Carbon County School District 1,11/29/2024
31,Maintenance Worker,10/24/2024,Maintenance/Custodial/,District,https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1,Carbon County School District 1,11/29/2024
32,Middle School Math Teacher,3/11/2024,Middle School Teaching,Little Snake River Valley School,https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1,Carbon County School District 1,11/29/2024
