"","title","Archive_Date","position","location","url","District","Category","Broad_Category"
"191","English Teacher with Acting/Drama Preferred",2024-08-09,"Teacher","THUNDER BASIN HIGH SCHOOL","https://campbell.tedk12.com/hire/index.aspx","Campbell County Scholl District 1","English Language Arts Education","English Language Arts Secondary"
"192","Instructional Teacher Assistant",2024-08-09,"Teacher","WAGONWHEEL ELEMENTARY","https://campbell.tedk12.com/hire/index.aspx","Campbell County Scholl District 1","Uncategorized","Other"
"193","Instructional Teacher Assistant",2024-08-09,"Teacher","STOCKTRAIL ELEMENTARY","https://campbell.tedk12.com/hire/index.aspx","Campbell County Scholl District 1","Uncategorized","Other"
"194","Title I Teacher Assistant",2024-08-09,"Teacher","STOCKTRAIL ELEMENTARY","https://campbell.tedk12.com/hire/index.aspx","Campbell County Scholl District 1","Uncategorized","Other"
"195","ESL (English as a Second Language) Teacher Assistant",2024-08-09,"Teacher","CAMPBELL COUNTY HIGH SCHOOL","https://campbell.tedk12.com/hire/index.aspx","Campbell County Scholl District 1","Elementary Education","Elementary"
"196","Instructional Teacher Assistant",2024-08-09,"Teacher","COTTONWOOD ELEMENTARY","https://campbell.tedk12.com/hire/index.aspx","Campbell County Scholl District 1","Uncategorized","Other"
"197","Teacher (High School Business)",2024-08-09,"Teacher","RIVERTON HIGH SCHOOL","https://fremont25.tedk12.com/hire/index.aspx","Fremont County School District 25","Business and Economics","CTE"
"198","Teacher (Arapaho Language)",2024-08-09,"Teacher","RIVERTON HIGH SCHOOL","https://fremont25.tedk12.com/hire/index.aspx","Fremont County School District 25","Language Education","Lanugage"
"199","Teacher (High School ELA)",2024-08-09,"Teacher","RIVERTON HIGH SCHOOL","https://fremont25.tedk12.com/hire/index.aspx","Fremont County School District 25","English Language Arts Education","English Language Arts Secondary"
"200","Special Education Teacher - Trail Elementary",2024-08-09,"Teacher","Trail Elementary School","https://goshen.tedk12.com/hire/index.aspx#aJobListings","Goshen County School District 1","Special Education","Special Education"
"201","Foreign Language Teacher 2024-2025 school year",2024-08-09,"Teacher","Burns Jr./Sr. High School","https://laramie2.tedk12.com/hire/index.aspx","Laramie County School District 2","Language Education","Lanugage"
