"","title","Archive_Date","position","location","url","District","Category","Broad_Category"
"88","Instructional Teacher Assistant",2024-08-09,"Teacher","STOCKTRAIL ELEMENTARY","https://campbell.tedk12.com/hire/index.aspx","Campbell County Scholl District 1","Uncategorized","Other"
"89","Title I Teacher Assistant",2024-08-09,"Teacher","STOCKTRAIL ELEMENTARY","https://campbell.tedk12.com/hire/index.aspx","Campbell County Scholl District 1","Uncategorized","Other"
"90","ESL (English as a Second Language) Teacher Assistant",2024-08-09,"Teacher","CAMPBELL COUNTY HIGH SCHOOL","https://campbell.tedk12.com/hire/index.aspx","Campbell County Scholl District 1","Elementary Education","Elementary"
"91","Instructional Teacher Assistant",2024-08-09,"Teacher","COTTONWOOD ELEMENTARY","https://campbell.tedk12.com/hire/index.aspx","Campbell County Scholl District 1","Uncategorized","Other"
"92","Teacher (High School Business)",2024-08-09,"Teacher","RIVERTON HIGH SCHOOL","https://fremont25.tedk12.com/hire/index.aspx","Fremont County School District 25","Business and Economics","CTE"
"93","Teacher (Arapaho Language)",2024-08-09,"Teacher","RIVERTON HIGH SCHOOL","https://fremont25.tedk12.com/hire/index.aspx","Fremont County School District 25","Language Education","Lanugage"
"94","Teacher (High School ELA)",2024-08-09,"Teacher","RIVERTON HIGH SCHOOL","https://fremont25.tedk12.com/hire/index.aspx","Fremont County School District 25","English Language Arts Education","English Language Arts Secondary"
"95","Special Education Teacher - Trail Elementary",2024-08-09,"Teacher","Trail Elementary School","https://goshen.tedk12.com/hire/index.aspx#aJobListings","Goshen County School District 1","Special Education","Special Education"
"96","Foreign Language Teacher 2024-2025 school year",2024-08-09,"Teacher","Burns Jr./Sr. High School","https://laramie2.tedk12.com/hire/index.aspx","Laramie County School District 2","Language Education","Lanugage"
"97","Special Education Teacher for 2024-25 School Year",2024-08-09,"Teacher","District","https://laramie2.tedk12.com/hire/index.aspx","Laramie County School District 2","Special Education","Special Education"
"98","Crest Hill Elementary Library Media Technician",2024-08-09,"Teacher","Crest Hill Elementary","https://natronaschools.tedk12.com/hire/index.aspx","Natrona School District 1","Elementary Education","Elementary"
"99","FCA Classroom Teacher for the 2024-2025 year only",2024-08-09,"Teacher","Fort Caspar Academy","https://natronaschools.tedk12.com/hire/index.aspx","Natrona School District 1","Uncategorized","Other"
"100","Pineview/Crest Hill Music Teacher for 2024-2025 ONLY",2024-08-09,"Teacher","Pineview Elementary","https://natronaschools.tedk12.com/hire/index.aspx","Natrona School District 1","Music Education","Music"
"101","Manor Heights Classroom Teacher-K-5 General Music for the 2024-2025 School Year Only",2024-08-09,"Teacher","Manor Heights Elementary","https://natronaschools.tedk12.com/hire/index.aspx","Natrona School District 1","Music Education","Music"
"102","Virtual Classroom Teacher - Language Arts for the 2024-2025 School Year Only",2024-08-09,"Teacher","Student Support Services","https://natronaschools.tedk12.com/hire/index.aspx","Natrona School District 1","English Language Arts Education","English Language Arts Secondary"
"103","English Second Language",2024-08-09,"Teacher","Elementary","https://www.acsd1.org/en-US/careers-d84d39fa","Albany Count School District 1","Elementary Education","Elementary"
"104","Teacher - Special Education",2024-08-09,"Teacher","Teacher - Special Education","https://www.acsd1.org/en-US/careers-d84d39fa","Albany Count School District 1","Special Education","Special Education"
"105","Virtual SPED Teacher",2024-08-09,"Teacher","District","https://www.growingluskleaders.org/page/human-resources","Niobrara County School District 1","Special Education","Special Education"
"106","K-12 Music Education Teacher",2024-08-09,"Teacher","District","https://www.guernseysunrise.org/page/employment","Platte County School District 2","Music Education","Music"
"107","Elementary Teacher Position",2024-08-09,"Teacher","District","https://www.wcsd1.org/apps/pages/Career_Opportunities","Weston County School District 1","Elementary Education","Elementary"
"108","Secondary English Teacher - Virtual - WYCA",2024-08-09,"Teacher","Big Horn Co School District 1","https://www.applitrack.com/bighorn1/onlineapp/JobPostings/view.asp?all=1","Big Horn School District 1","English Language Arts Education","English Language Arts Secondary"
"109","Secondary Science Teacher - WYCA",2024-08-09,"Teacher","Big Horn Co School District 1","https://www.applitrack.com/bighorn1/onlineapp/JobPostings/view.asp?all=1","Big Horn School District 1","Science Education","STEM"
"110","Agriculture Teacher - FFA Sponsor",2024-08-09,"Teacher","Greybull High School","https://www.applitrack.com/bighorn/onlineapp/default.aspx?all=1","Big Horn School District 3","Agriculture Education","CTE"
"111","High School Science Research Sponsor (Internal Applicants Only)",2024-08-09,"Teacher","Greybull High School","https://www.applitrack.com/bighorn/onlineapp/default.aspx?all=1","Big Horn School District 3","Science Education","STEM"
"112","Part Time Pre-K Teacher",2024-08-09,"Teacher","Rawlins Elementary School","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","Early Childhood Education","Early Childhood"
"113","Music Teacher",2024-08-09,"Teacher","Rawlins Elementary School","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","Music Education","Music"
"114","P.E./ Health Teacher-K-12",2024-08-09,"Teacher","Little Snake River Valley School","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","Physical Education","Physical Education"
"115","Middle School Math Teacher",2024-08-09,"Teacher","Little Snake River Valley School","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","Mathematics Education","STEM"
"116","Middle School Choir/Music Teacher",2024-08-09,"Teacher","Rawlins Middle School","https://www.applitrack.com/crb1/onlineapp/jobpostings/view.asp?all=1","Carbon County School District 1","Music Education","Music"
